received_at,device_id,user,accel_stddev,gyro_stddev,bpm,local_act,activity,timestamp
2026-04-06T16:27:53.735800,ESP32_001,User_001,0.006086,0.6042,189,DUDUK,DUDUK,189433
2026-04-06T16:27:55.747232,ESP32_001,User_001,0.00686,1.1904,160,DUDUK,DUDUK,191446
2026-04-06T16:47:46.563208,ESP32_001,User_001,0.01986,13.6632,181,BERJALAN,BERJALAN,21952
2026-04-06T16:47:48.515987,ESP32_001,User_001,0.023042,16.544,143,BERJALAN,BERJALAN,23958
2026-04-06T16:47:50.555185,ESP32_001,User_001,0.016901,12.3976,138,BERJALAN,BERJALAN,25978
2026-04-06T16:47:52.500762,ESP32_001,User_001,0.116366,21.6514,172,BERJALAN,BERJALAN,27985
2026-04-06T16:47:54.549328,ESP32_001,User_001,0.032871,29.1117,167,BERJALAN,BERJALAN,30002
2026-04-06T16:47:56.495255,ESP32_001,User_001,0.032554,16.2557,174,BERJALAN,BERJALAN,32012
2026-04-06T16:47:58.545212,ESP32_001,User_001,0.029069,10.7365,174,BERJALAN,BERJALAN,34016
2026-04-06T16:48:00.489471,ESP32_001,User_001,0.031961,16.7747,85,BERJALAN,BERJALAN,36026
2026-04-06T16:48:02.536609,ESP32_001,User_001,0.025663,14.0872,166,BERJALAN,BERJALAN,38032
2026-04-06T16:48:04.584098,ESP32_001,User_001,0.034547,14.4308,179,BERJALAN,BERJALAN,40053
2026-04-06T16:48:06.528814,ESP32_001,User_001,0.031685,18.0357,173,BERJALAN,BERJALAN,42072
2026-04-06T16:48:08.579450,ESP32_001,User_001,0.033232,21.1546,183,BERJALAN,BERJALAN,44088
2026-04-06T16:48:10.546912,ESP32_001,User_001,0.034033,17.6311,186,BERJALAN,BERJALAN,46099
2026-04-06T16:48:12.573293,ESP32_001,User_001,0.042322,20.821,181,BERJALAN,BERJALAN,48105
2026-04-06T16:48:14.621348,ESP32_001,User_001,0.0377,21.8447,176,BERJALAN,BERJALAN,50113
2026-04-06T16:48:16.667942,ESP32_001,User_001,0.098799,32.3033,144,BERJALAN,BERJALAN,52124
2026-04-06T16:48:18.599939,ESP32_001,User_001,0.134371,34.9948,126,BERJALAN,BERJALAN,54140
2026-04-06T16:48:20.968782,ESP32_001,User_001,0.045053,24.9962,175,BERJALAN,BERJALAN,56150
2026-04-06T16:48:22.710167,ESP32_001,User_001,0.089935,37.9397,183,BERJALAN,BERJALAN,58161
2026-04-06T16:48:24.656035,ESP32_001,User_001,0.148937,33.4185,189,BERJALAN,BERJALAN,60175
2026-04-06T16:48:26.664097,ESP32_001,User_001,0.126967,42.3533,190,BERJALAN,BERJALAN,62193
2026-04-06T16:48:28.647353,ESP32_001,User_001,0.113996,32.9367,180,BERJALAN,BERJALAN,64193
2026-04-06T16:48:30.696278,ESP32_001,User_001,0.069399,24.1929,180,BERJALAN,BERJALAN,66202
2026-04-06T16:48:32.662264,ESP32_001,User_001,0.090131,29.4193,184,BERJALAN,BERJALAN,68211
2026-04-06T16:48:34.688925,ESP32_001,User_001,0.098117,22.6718,165,BERJALAN,BERJALAN,70219
2026-04-06T16:48:36.736925,ESP32_001,User_001,0.134701,24.1544,171,BERJALAN,BERJALAN,72226
2026-04-06T16:48:38.742378,ESP32_001,User_001,0.078865,25.7143,171,BERJALAN,BERJALAN,74236
2026-04-06T16:48:40.730536,ESP32_001,User_001,0.099756,25.4731,0,BERJALAN,BERJALAN,76243
2026-04-06T16:48:42.720798,ESP32_001,User_001,0.111486,30.4449,0,BERJALAN,BERJALAN,78253
2026-04-06T16:48:44.728612,ESP32_001,User_001,0.043741,17.7578,0,BERJALAN,BERJALAN,80260
2026-04-06T16:48:46.771918,ESP32_001,User_001,0.094248,29.3286,0,BERJALAN,BERJALAN,82271
2026-04-06T16:48:48.726663,ESP32_001,User_001,0.013894,7.8342,74,BERJALAN,BERJALAN,84278
2026-04-06T16:48:50.764399,ESP32_001,User_001,0.085222,40.5207,129,BERJALAN,BERJALAN,86292
2026-04-06T16:48:52.817572,ESP32_001,User_001,0.129942,36.0544,155,BERJALAN,BERJALAN,88296
2026-04-06T16:48:54.860168,ESP32_001,User_001,0.085438,27.4954,155,BERJALAN,BERJALAN,90307
2026-04-06T16:48:56.808686,ESP32_001,User_001,0.051169,36.2514,0,BERJALAN,BERJALAN,92319
2026-04-06T16:48:58.855500,ESP32_001,User_001,0.045094,26.9355,35,BERJALAN,BERJALAN,94325
2026-04-06T16:49:00.927527,ESP32_001,User_001,0.025517,17.5026,82,BERJALAN,BERJALAN,96333
2026-04-06T16:49:02.850475,ESP32_001,User_001,0.074054,20.2472,105,BERJALAN,BERJALAN,98344
2026-04-06T16:49:04.898411,ESP32_001,User_001,0.127953,18.6418,148,BERJALAN,BERJALAN,100355
2026-04-06T16:49:06.843124,ESP32_001,User_001,0.069785,17.553,164,BERJALAN,BERJALAN,102369
2026-04-06T16:49:08.888064,ESP32_001,User_001,0.072436,30.0284,164,BERJALAN,BERJALAN,104381
2026-04-06T16:49:10.938481,ESP32_001,User_001,0.032676,19.2952,57,BERJALAN,BERJALAN,106398
2026-04-06T16:49:12.884814,ESP32_001,User_001,0.073058,26.3938,88,BERJALAN,BERJALAN,108409
2026-04-06T16:49:14.932552,ESP32_001,User_001,0.072629,33.6006,97,BERJALAN,BERJALAN,110422
2026-04-06T16:49:16.981921,ESP32_001,User_001,0.138437,29.0719,151,BERJALAN,BERJALAN,112441
2026-04-06T16:49:18.927857,ESP32_001,User_001,0.13071,36.3045,151,BERJALAN,BERJALAN,114450
2026-04-06T16:49:21.077175,ESP32_001,User_001,0.184907,51.2773,174,BERJALAN,BERJALAN,116462
2026-04-06T16:49:23.023725,ESP32_001,User_001,0.137745,37.6389,181,BERJALAN,BERJALAN,118473
2026-04-06T16:49:24.967862,ESP32_001,User_001,0.138991,39.4198,181,BERJALAN,BERJALAN,120485
2026-04-06T16:49:27.016733,ESP32_001,User_001,0.132956,27.6016,0,BERJALAN,BERJALAN,122494
2026-04-06T16:49:29.064022,ESP32_001,User_001,0.03054,29.9196,0,BERJALAN,BERJALAN,124500
2026-04-06T16:49:31.009899,ESP32_001,User_001,0.053898,23.9268,77,BERJALAN,BERJALAN,126506
2026-04-06T16:49:32.963073,ESP32_001,User_001,0.073575,26.6734,127,BERJALAN,BERJALAN,128511
2026-04-06T16:49:35.006687,ESP32_001,User_001,0.137136,26.9155,144,BERJALAN,BERJALAN,130535
2026-04-06T16:49:37.050540,ESP32_001,User_001,0.059268,34.7161,144,BERJALAN,BERJALAN,132552
2026-04-06T16:49:39.099273,ESP32_001,User_001,0.09835,27.6391,0,BERJALAN,BERJALAN,134558
2026-04-06T16:49:41.029870,ESP32_001,User_001,0.074852,37.6194,0,BERJALAN,BERJALAN,136572
2026-04-06T16:49:43.050074,ESP32_001,User_001,0.063619,24.9943,0,BERJALAN,BERJALAN,138586
2026-04-06T16:49:45.041626,ESP32_001,User_001,0.112069,26.6488,0,BERJALAN,BERJALAN,140597
2026-04-06T19:01:45.537220,ESP32_001,User_001,0.061336,43.4861,140,DUDUK,BERLARI,23677
2026-04-06T19:01:47.550326,ESP32_001,User_001,0.193596,39.637,92,BERLARI,BERLARI,25688
2026-04-06T19:01:49.573783,ESP32_001,User_001,0.15404,35.6296,142,BERLARI,BERLARI,27699
2026-04-06T19:01:51.579251,ESP32_001,User_001,0.131677,46.6862,142,BERLARI,BERLARI,29710
2026-04-06T19:01:53.575635,ESP32_001,User_001,0.149289,22.0459,0,BERLARI,BERLARI,31717
2026-04-06T19:01:55.583094,ESP32_001,User_001,0.097963,34.0198,47,BERLARI,BERLARI,33726
2026-04-06T19:01:57.589484,ESP32_001,User_001,0.222739,58.7338,47,BERJALAN,BERLARI,35732
2026-04-06T19:01:59.596460,ESP32_001,User_001,0.157982,31.869,99,BERLARI,BERLARI,37738
2026-04-06T19:02:01.609885,ESP32_001,User_001,0.128356,25.6597,167,BERLARI,BERLARI,39748
2026-04-06T19:02:03.616862,ESP32_001,User_001,0.108438,32.6699,167,BERLARI,BERLARI,41754
2026-04-06T19:02:05.627316,ESP32_001,User_001,0.14592,36.3156,0,BERJALAN,BERLARI,43768
2026-04-06T19:02:07.638908,ESP32_001,User_001,0.205052,47.8458,0,BERLARI,BERLARI,45777
2026-04-06T19:02:09.641135,ESP32_001,User_001,0.073094,26.561,40,BERJALAN,BERLARI,47782
2026-04-06T19:02:11.652841,ESP32_001,User_001,0.144729,29.6335,70,BERLARI,BERLARI,49795
2026-04-06T19:02:13.674976,ESP32_001,User_001,0.130717,30.0065,91,BERLARI,BERLARI,51813
2026-04-06T19:02:15.685197,ESP32_001,User_001,0.140986,28.9184,133,BERLARI,BERLARI,53825
2026-04-06T19:02:17.860859,ESP32_001,User_001,0.137884,25.8695,133,BERLARI,BERLARI,55828
2026-04-06T19:02:19.690422,ESP32_001,User_001,0.169965,27.0973,0,BERLARI,BERLARI,57832
2026-04-06T19:02:21.717882,ESP32_001,User_001,0.177511,41.9202,139,BERLARI,BERLARI,59846
2026-04-06T19:02:23.710940,ESP32_001,User_001,0.181993,33.1064,172,BERLARI,BERLARI,61850
2026-04-06T19:02:25.726040,ESP32_001,User_001,0.167775,31.6624,172,BERLARI,BERLARI,63859
2026-04-06T19:02:27.736083,ESP32_001,User_001,0.182622,33.0751,0,BERLARI,BERLARI,65877
2026-04-06T19:02:29.745792,ESP32_001,User_001,0.213121,51.6537,49,BERLARI,BERLARI,67886
2026-04-06T19:02:31.757296,ESP32_001,User_001,0.139637,28.3852,122,BERLARI,BERLARI,69897
2026-04-06T19:02:33.770981,ESP32_001,User_001,0.170464,44.3151,159,BERLARI,BERLARI,71912
2026-04-06T19:02:35.782271,ESP32_001,User_001,0.123627,36.5525,159,BERLARI,BERLARI,73923
2026-04-06T19:02:37.793201,ESP32_001,User_001,0.159828,52.4434,0,BERLARI,BERLARI,75931
2026-04-06T19:02:39.800496,ESP32_001,User_001,0.25302,46.4863,43,BERLARI,BERLARI,77941
2026-04-06T19:02:41.819049,ESP32_001,User_001,0.143194,29.7552,117,BERLARI,BERLARI,79956
2026-04-06T19:02:43.821803,ESP32_001,User_001,0.363067,47.09,160,BERLARI,BERLARI,81963
2026-04-06T19:02:45.827536,ESP32_001,User_001,0.224453,38.8374,166,BERLARI,BERLARI,83968
2026-04-06T19:02:47.833807,ESP32_001,User_001,0.201313,30.5491,168,BERLARI,BERLARI,85974
2026-04-06T19:02:49.841953,ESP32_001,User_001,0.16657,34.0205,145,BERLARI,BERLARI,87982
2026-04-06T19:02:51.852164,ESP32_001,User_001,0.141668,23.7008,160,BERLARI,BERLARI,89993
2026-04-06T19:02:53.870325,ESP32_001,User_001,0.210199,26.1387,160,BERLARI,BERLARI,92009
2026-04-06T19:02:55.882251,ESP32_001,User_001,0.126262,35.5155,0,BERLARI,BERLARI,94021
2026-04-06T19:02:57.895174,ESP32_001,User_001,0.151194,24.6254,0,BERLARI,BERLARI,96032
2026-04-06T19:02:59.896474,ESP32_001,User_001,0.141355,29.7448,0,BERLARI,BERLARI,98036
2026-04-06T19:03:01.911049,ESP32_001,User_001,0.114124,23.9299,82,BERJALAN,BERLARI,100052
2026-04-06T19:03:03.924469,ESP32_001,User_001,0.138997,32.8851,128,BERLARI,BERLARI,102064
2026-04-06T19:03:05.931068,ESP32_001,User_001,0.115384,33.009,143,BERLARI,BERLARI,104067
2026-04-06T19:03:07.945080,ESP32_001,User_001,0.07267,29.731,173,BERLARI,BERLARI,106081
2026-04-06T19:03:09.950385,ESP32_001,User_001,0.079021,28.2074,185,BERJALAN,BERLARI,108090
2026-04-06T19:03:11.962944,ESP32_001,User_001,0.199527,42.6407,185,BERLARI,BERLARI,110101
2026-04-06T19:03:13.985970,ESP32_001,User_001,0.174237,40.1859,182,BERLARI,BERLARI,112122
2026-04-06T19:03:15.997481,ESP32_001,User_001,0.149959,30.6626,182,BERLARI,BERLARI,114133
2026-04-06T19:03:17.999115,ESP32_001,User_001,0.124103,37.2285,182,BERLARI,BERLARI,116137
2026-04-06T19:03:20.006003,ESP32_001,User_001,0.129275,41.7334,110,BERLARI,BERLARI,118145
2026-04-06T19:03:22.022184,ESP32_001,User_001,0.110887,28.8392,177,BERLARI,BERLARI,120161
2026-04-06T19:03:24.030186,ESP32_001,User_001,0.120473,27.6255,177,BERJALAN,BERLARI,122169
2026-04-06T19:03:26.043606,ESP32_001,User_001,0.143903,28.0224,187,BERLARI,BERLARI,124181
2026-04-06T19:03:28.055642,ESP32_001,User_001,0.123437,46.3901,193,BERLARI,BERLARI,126195
2026-04-06T19:03:30.071411,ESP32_001,User_001,0.16325,36.3231,193,BERLARI,BERLARI,128211
2026-04-06T19:03:32.086104,ESP32_001,User_001,0.129128,32.4952,0,BERLARI,BERLARI,130223
2026-04-06T19:03:34.089074,ESP32_001,User_001,0.117909,46.3923,44,BERLARI,BERLARI,132227
2026-04-06T19:03:36.101807,ESP32_001,User_001,0.165771,37.6146,141,BERLARI,BERLARI,134241
2026-04-06T19:03:38.105822,ESP32_001,User_001,0.167852,39.1739,160,BERLARI,BERLARI,136245
2026-04-06T19:03:40.111869,ESP32_001,User_001,0.130282,45.3144,168,BERLARI,BERLARI,138250
2026-04-06T19:03:42.116617,ESP32_001,User_001,0.143957,37.9279,168,BERLARI,BERLARI,140256
2026-04-06T19:03:44.122955,ESP32_001,User_001,0.15811,36.667,0,BERLARI,BERLARI,142262
2026-04-06T21:02:54.532124,1,dimas,0.007813,0.1922,0,DUDUK,92839
2026-04-06T21:02:56.537603,1,dimas,0.005202,0.0261,0,DUDUK,94845
2026-04-06T21:02:58.544370,1,dimas,0.005483,0.4032,0,DUDUK,96851
2026-04-06T21:03:00.550018,1,dimas,0.165458,75.1473,0,DUDUK,98857
2026-04-06T21:03:02.561483,1,dimas,0.238351,37.9355,0,BERLARI,100868
2026-04-06T21:03:06.576769,1,dimas,0.024454,9.3825,46,DUDUK,104883
2026-04-06T21:03:08.581452,1,dimas,0.030887,43.844,82,DUDUK,106888
2026-04-06T21:03:10.586838,1,dimas,0.076203,29.6828,82,DUDUK,108894
2026-04-06T21:03:12.593657,1,dimas,0.115658,39.7247,0,DUDUK,110900
2026-04-06T21:03:14.608670,1,dimas,0.099741,49.9992,0,DUDUK,112908
2026-04-06T21:03:16.609718,1,dimas,0.098896,48.4197,33,BERLARI,114914
2026-04-06T21:03:18.619027,1,dimas,0.107936,37.6044,110,BERJALAN,116925
2026-04-06T21:03:20.629740,1,dimas,0.13199,38.7183,110,BERJALAN,118936
2026-04-06T21:03:22.747731,1,dimas,0.023373,22.0315,0,BERLARI,120947
2026-04-06T21:03:24.648014,1,dimas,0.005797,6.9467,38,DUDUK,122954
2026-04-06T21:03:26.670694,1,dimas,0.006486,2.0655,38,DUDUK,124977
2026-04-06T21:03:28.670929,1,dimas,0.006625,7.8726,0,DUDUK,126976
2026-04-06T21:03:30.681732,1,dimas,0.008173,10.0146,38,DUDUK,128987
2026-04-06T21:03:32.689693,1,dimas,0.004901,1.915,100,DUDUK,130996
