timestamp_server,device_id,user,timestamp_device,accel_stddev,gyro_stddev,bpm,activity_label
2026-04-05T14:14:36.258471,ESP32_001,User_001,41342,0.003098,0.011969,0,DUDUK
2026-04-05T14:14:38.265070,ESP32_001,User_001,43349,0.002806,0.008613,0,DUDUK
2026-04-05T14:14:40.276939,ESP32_001,User_001,45361,0.00183,0.008543,0,DUDUK
2026-04-05T14:14:42.280667,ESP32_001,User_001,47364,0.001933,0.922867,0,DUDUK
2026-04-05T14:14:44.286163,ESP32_001,User_001,49369,0.002163,1.527987,0,DUDUK
2026-04-05T14:14:46.289358,ESP32_001,User_001,51372,0.00179,0.555866,0,DUDUK
2026-04-05T14:14:48.324729,ESP32_001,User_001,53376,0.002729,0.010964,0,DUDUK
2026-04-05T14:14:50.304088,ESP32_001,User_001,55389,0.003703,0.009547,0,DUDUK
2026-04-05T14:14:52.319642,ESP32_001,User_001,57404,0.003553,0.014963,0,DUDUK
2026-04-05T14:14:54.338132,ESP32_001,User_001,59420,0.00422,0.01446,0,DUDUK
2026-04-05T14:14:56.352795,ESP32_001,User_001,61433,0.002336,0.010243,141,DUDUK
2026-04-05T14:14:58.359665,ESP32_001,User_001,63444,0.002604,0.021961,173,DUDUK
2026-04-05T14:15:00.380553,ESP32_001,User_001,65456,0.002232,0.017034,173,DUDUK
2026-04-05T14:15:02.389371,ESP32_001,User_001,67474,0.00219,0.017411,0,DUDUK
2026-04-05T14:15:04.398793,ESP32_001,User_001,69480,0.00306,0.012078,0,DUDUK
2026-04-05T14:15:06.431678,ESP32_001,User_001,71485,0.002538,0.010394,0,DUDUK
2026-04-05T14:15:08.406598,ESP32_001,User_001,73491,0.00364,0.010249,0,DUDUK
2026-04-05T14:15:10.467476,ESP32_001,User_001,75505,0.002541,0.008543,0,DUDUK
2026-04-05T14:15:12.430443,ESP32_001,User_001,77511,0.002527,0.008889,0,DUDUK
2026-04-05T14:15:14.438662,ESP32_001,User_001,79520,0.003415,0.010976,0,DUDUK
