received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,local_act,timestamp
2026-04-22T20:34:15.213839,3,PSR_03,0.007797,2.8638,0,DUDUK,1997116
2026-04-22T20:34:17.240242,3,PSR_03,0.011071,20.7715,68,DUDUK,1999126
2026-04-22T20:34:19.310477,3,PSR_03,0.021303,16.6164,66,BERJALAN,2001137
2026-04-22T20:34:21.256479,3,PSR_03,0.046935,22.9229,69,BERJALAN,2003148
2026-04-22T20:34:23.303451,3,PSR_03,0.081333,36.4124,68,BERJALAN,2005159
2026-04-22T20:34:25.351678,3,PSR_03,0.052293,19.8632,67,BERJALAN,2007165
2026-04-22T20:34:27.274500,3,PSR_03,0.0308,8.3427,69,BERJALAN,2009175
2026-04-22T20:34:29.345321,3,PSR_03,0.120777,34.6867,70,BERJALAN,2011184
2026-04-22T20:34:31.393176,3,PSR_03,0.107672,55.6567,86,BERJALAN,2013194
2026-04-22T20:34:33.338507,3,PSR_03,0.112482,60.9868,96,BERLARI,2015205
2026-04-22T20:34:35.387911,3,PSR_03,0.196764,52.1047,102,BERLARI,2017212
2026-04-22T20:34:37.332573,3,PSR_03,0.229954,45.1814,102,BERLARI,2019216
2026-04-22T20:34:39.381485,3,PSR_03,0.172576,63.5115,96,BERLARI,2021232
2026-04-22T20:34:41.428607,3,PSR_03,0.25041,47.5996,94,BERLARI,2023238
2026-04-22T20:34:43.384748,3,PSR_03,0.169815,47.2054,93,BERLARI,2025249
2026-04-22T20:34:45.422375,3,PSR_03,0.284242,39.1964,103,BERLARI,2027259
2026-04-22T20:34:47.401116,3,PSR_03,0.129546,31.4573,103,BERLARI,2029266
2026-04-22T20:34:49.463054,3,PSR_03,0.223706,46.6419,99,BERLARI,2031277
2026-04-22T20:34:51.463728,3,PSR_03,0.22315,49.7087,95,BERLARI,2033287
2026-04-22T20:34:53.512362,3,PSR_03,0.180113,43.7361,84,BERLARI,2035298
2026-04-22T20:34:55.457365,3,PSR_03,0.190517,44.1695,80,BERLARI,2037314
2026-04-22T20:34:57.456570,3,PSR_03,0.160723,52.1896,76,BERLARI,2039320
2026-04-22T20:34:59.507714,3,PSR_03,0.184609,41.3393,75,BERLARI,2041331
2026-04-22T20:35:01.500016,3,PSR_03,0.217744,53.5258,75,BERLARI,2043335
2026-04-22T20:35:03.549139,3,PSR_03,0.235534,57.0275,75,BERLARI,2045346
2026-04-22T20:35:05.578195,3,PSR_03,0.238069,55.2334,75,BERLARI,2047357
2026-04-22T20:35:07.540599,3,PSR_03,0.232328,38.4276,76,BERLARI,2049366
2026-04-22T20:35:09.588410,3,PSR_03,0.191563,30.4165,77,BERLARI,2051377
2026-04-22T20:35:11.534991,3,PSR_03,0.24103,48.4402,83,BERLARI,2053386
2026-04-22T20:35:13.582277,3,PSR_03,0.214018,63.8899,92,BERLARI,2055402
2026-04-22T20:35:15.631553,3,PSR_03,0.012607,24.933,92,BERLARI,2057410
2026-04-22T20:35:17.576919,3,PSR_03,0.010294,7.7541,92,BERJALAN,2059415
2026-04-22T20:35:19.624847,3,PSR_03,0.006833,3.7812,91,DUDUK,2061426
2026-04-22T20:35:21.672453,3,PSR_03,0.102375,30.7432,87,DUDUK,2063436
2026-04-22T20:35:23.720339,3,PSR_03,0.049829,11.6194,100,BERJALAN,2065442
