received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,local_act,timestamp
2026-04-25T15:49:44.870430,14,PSR_014,0.007593,14.4588,31,DUDUK,51324
2026-04-25T15:49:46.862534,14,PSR_014,0.023748,15.5415,41,BERJALAN,53332
2026-04-25T15:49:48.870227,14,PSR_014,0.005399,4.2432,48,BERJALAN,55338
2026-04-25T15:49:50.879785,14,PSR_014,0.006446,0.7784,58,DUDUK,57347
2026-04-25T15:49:52.887350,14,PSR_014,0.006779,4.0736,60,DUDUK,59354
2026-04-25T15:49:54.892162,14,PSR_014,0.020837,14.3445,60,DUDUK,61361
2026-04-25T15:49:56.904016,14,PSR_014,0.024752,14.0747,83,BERJALAN,63371
2026-04-25T15:49:58.913533,14,PSR_014,0.009152,1.1121,112,BERJALAN,65382
2026-04-25T15:50:00.932282,14,PSR_014,0.011539,0.4053,122,DUDUK,67401
2026-04-25T15:50:02.953681,14,PSR_014,0.00946,0.5234,132,DUDUK,69412
2026-04-25T15:50:04.955516,14,PSR_014,0.012716,6.7379,122,DUDUK,71424
2026-04-25T15:50:06.971824,14,PSR_014,0.010231,6.544,112,DUDUK,73435
2026-04-25T15:50:08.977635,14,PSR_014,0.008442,0.6949,103,DUDUK,75446
2026-04-25T15:50:10.983024,14,PSR_014,0.007865,4.8171,100,DUDUK,77451
2026-04-25T15:50:12.989478,14,PSR_014,0.009257,0.6253,104,DUDUK,79457
2026-04-25T15:50:15.001803,14,PSR_014,0.008994,0.7262,105,DUDUK,81469
2026-04-25T15:50:17.012919,14,PSR_014,0.007244,0.9009,99,DUDUK,83480
2026-04-25T15:50:19.020602,14,PSR_014,0.005451,2.8017,92,DUDUK,85490
2026-04-25T15:50:21.177957,14,PSR_014,0.00975,1.209,85,DUDUK,87498
2026-04-25T15:50:23.052465,14,PSR_014,0.007136,0.4229,82,DUDUK,89518
2026-04-25T15:50:25.149805,14,PSR_014,0.007827,0.3712,80,DUDUK,91524
2026-04-25T15:50:27.069834,14,PSR_014,0.007439,0.3308,80,DUDUK,93535
2026-04-25T15:50:29.311760,14,PSR_014,0.008125,0.2581,80,DUDUK,95547
2026-04-25T15:50:31.399060,14,PSR_014,0.005967,0.1951,78,DUDUK,97558
2026-04-25T15:50:33.107615,14,PSR_014,0.008463,0.1978,77,DUDUK,99569
2026-04-25T15:50:35.293477,14,PSR_014,0.005798,0.2303,75,DUDUK,101583
2026-04-25T15:50:37.265493,14,PSR_014,0.008176,0.2117,75,DUDUK,103582
2026-04-25T15:50:39.199849,14,PSR_014,0.009511,0.2026,75,DUDUK,105588
2026-04-25T15:50:41.157322,14,PSR_014,0.008949,0.2228,76,DUDUK,107599
2026-04-25T15:50:43.156048,14,PSR_014,0.01008,0.252,76,DUDUK,109605
2026-04-25T15:50:45.160163,14,PSR_014,0.008446,0.2269,76,DUDUK,111615
2026-04-25T15:50:48.336840,14,PSR_014,0.008495,0.602,77,DUDUK,113636
2026-04-25T15:50:50.126025,14,PSR_014,0.010556,0.2173,77,DUDUK,115640
2026-04-25T15:50:51.625258,14,PSR_014,0.007761,0.5358,77,DUDUK,117651
2026-04-25T15:50:53.250518,14,PSR_014,0.023254,8.3049,78,DUDUK,119661
2026-04-25T15:50:59.324266,14,PSR_014,0.010118,0.8099,83,DUDUK,121671
2026-04-25T15:50:59.557711,14,PSR_014,0.008314,0.6079,87,DUDUK,123681
2026-04-25T15:50:59.557711,14,PSR_014,0.008109,0.5155,87,DUDUK,125686
2026-04-25T15:51:01.224354,14,PSR_014,0.008849,0.2371,88,DUDUK,127691
2026-04-25T15:51:03.235299,14,PSR_014,0.00798,0.2369,85,DUDUK,129700
2026-04-25T15:51:05.246212,14,PSR_014,0.012964,2.725,86,DUDUK,131711
2026-04-25T15:51:07.254043,14,PSR_014,0.008988,3.8416,99,DUDUK,133718
2026-04-25T15:51:09.262230,14,PSR_014,0.006812,0.3172,106,DUDUK,135729
2026-04-25T15:51:11.275590,14,PSR_014,0.009651,0.5201,107,DUDUK,137735
2026-04-25T15:51:13.288062,14,PSR_014,0.007164,2.2598,97,DUDUK,139746
2026-04-25T15:51:15.299637,14,PSR_014,0.005498,6.0483,86,BERJALAN,141755
2026-04-25T15:51:17.295720,14,PSR_014,0.019944,10.4347,81,BERJALAN,143762
2026-04-25T15:51:19.307668,14,PSR_014,0.007259,5.63,73,BERJALAN,145773
2026-04-25T15:51:21.323018,14,PSR_014,0.009986,5.8357,68,BERJALAN,147784
2026-04-25T15:51:23.329315,14,PSR_014,0.007564,4.3288,67,DUDUK,149796
2026-04-25T15:51:25.348311,14,PSR_014,0.016163,11.4459,87,DUDUK,151812
2026-04-25T15:51:27.353844,14,PSR_014,0.059072,26.1532,95,DUDUK,153819
2026-04-25T15:51:29.369604,14,PSR_014,0.029113,15.1061,91,BERJALAN,155835
2026-04-25T15:51:31.381852,14,PSR_014,0.02756,23.8127,86,BERJALAN,157846
2026-04-25T15:51:33.391606,14,PSR_014,0.025574,22.5989,77,BERJALAN,159857
2026-04-25T15:51:35.397623,14,PSR_014,0.010731,6.9659,73,BERJALAN,161863
2026-04-25T15:51:37.432849,14,PSR_014,0.014884,10.2096,82,DUDUK,163875
2026-04-25T15:51:39.421571,14,PSR_014,0.069346,20.8322,91,BERJALAN,165886
2026-04-25T15:51:41.430011,14,PSR_014,0.004854,11.1048,104,BERJALAN,167894
2026-04-25T15:51:43.436521,14,PSR_014,0.005022,3.2072,118,DUDUK,169900
2026-04-25T15:51:45.450207,14,PSR_014,0.008537,3.4599,117,DUDUK,171911
2026-04-25T15:51:47.459202,14,PSR_014,0.010255,3.7088,114,DUDUK,173922
2026-04-25T15:51:49.465139,14,PSR_014,0.010208,0.5954,103,DUDUK,175930
2026-04-25T15:51:51.470883,14,PSR_014,0.009618,5.0357,91,DUDUK,177936
2026-04-25T15:51:53.476554,14,PSR_014,0.009172,1.3908,86,DUDUK,179942
2026-04-25T15:51:55.489889,14,PSR_014,0.007806,5.098,81,DUDUK,181952
2026-04-25T15:51:57.497911,14,PSR_014,0.007469,0.8714,78,DUDUK,183963
2026-04-25T15:51:59.505112,14,PSR_014,0.011608,2.5906,77,DUDUK,185970
2026-04-25T15:52:01.528890,14,PSR_014,0.007584,0.1776,77,DUDUK,187979
2026-04-25T15:52:03.519888,14,PSR_014,0.00812,2.2147,77,DUDUK,189985
2026-04-25T15:52:05.529728,14,PSR_014,0.012337,5.2596,76,DUDUK,191994
2026-04-25T15:52:07.536883,14,PSR_014,0.005768,1.8865,76,DUDUK,194001
2026-04-25T15:52:09.547064,14,PSR_014,0.005632,0.3589,79,DUDUK,196012
2026-04-25T15:52:11.559615,14,PSR_014,0.006551,0.3626,85,DUDUK,198019
2026-04-25T15:52:13.791568,14,PSR_014,0.006443,0.5319,89,DUDUK,200031
2026-04-25T15:52:15.571697,14,PSR_014,0.008217,0.3259,90,DUDUK,202036
2026-04-25T15:52:17.580004,14,PSR_014,0.007497,0.4987,90,DUDUK,204045
2026-04-25T15:52:19.592223,14,PSR_014,0.01044,0.3792,86,DUDUK,206056
2026-04-25T15:52:21.601378,14,PSR_014,0.007099,0.2127,81,DUDUK,208065
2026-04-25T15:52:23.611993,14,PSR_014,0.005482,0.393,79,DUDUK,210076
2026-04-25T15:52:25.641893,14,PSR_014,0.008847,0.1624,79,DUDUK,212087
2026-04-25T15:52:27.639171,14,PSR_014,0.00796,0.313,79,DUDUK,214103
2026-04-25T15:52:29.649971,14,PSR_014,0.010345,0.1771,78,DUDUK,216113
2026-04-25T15:52:31.661074,14,PSR_014,0.008525,0.1863,78,DUDUK,218125
2026-04-25T15:52:33.670013,14,PSR_014,0.006799,0.2109,78,DUDUK,220131
2026-04-25T15:52:35.675582,14,PSR_014,0.006903,0.3155,78,DUDUK,222139
2026-04-25T15:52:37.685309,14,PSR_014,0.006548,0.3461,78,DUDUK,224148
2026-04-25T15:52:39.697580,14,PSR_014,0.009024,0.3645,78,DUDUK,226159
2026-04-25T15:52:41.707829,14,PSR_014,0.00662,0.167,78,DUDUK,228171
2026-04-25T15:52:43.717495,14,PSR_014,0.00769,0.2703,79,DUDUK,230182
2026-04-25T15:52:45.730118,14,PSR_014,0.009468,0.2483,80,DUDUK,232193
2026-04-25T15:52:47.743500,14,PSR_014,0.005591,0.2333,82,DUDUK,234207
2026-04-25T15:52:49.754429,14,PSR_014,0.007441,0.2215,82,DUDUK,236218
2026-04-25T15:52:51.766417,14,PSR_014,0.006517,0.2475,82,DUDUK,238229
2026-04-25T15:52:53.830791,14,PSR_014,0.007082,0.2849,82,DUDUK,240237
2026-04-25T15:52:55.790104,14,PSR_014,0.006977,0.4245,81,DUDUK,242247
2026-04-25T15:52:57.787746,14,PSR_014,0.010998,0.2637,84,DUDUK,244251
2026-04-25T15:52:59.796997,14,PSR_014,0.005513,0.2376,85,DUDUK,246255
2026-04-25T15:53:01.798844,14,PSR_014,0.008584,0.4352,91,DUDUK,248262
2026-04-25T15:53:03.815716,14,PSR_014,0.011986,0.2493,90,DUDUK,250278
2026-04-25T15:53:05.825676,14,PSR_014,0.007464,4.947,87,DUDUK,252289
2026-04-25T15:53:07.832286,14,PSR_014,0.013771,2.7983,86,DUDUK,254295
2026-04-25T15:53:09.838001,14,PSR_014,0.014338,7.1067,81,DUDUK,256299
2026-04-25T15:53:11.852535,14,PSR_014,0.009821,5.1672,81,DUDUK,258315
2026-04-25T15:53:13.864478,14,PSR_014,0.005099,0.2191,83,DUDUK,260327
2026-04-25T15:53:15.870982,14,PSR_014,0.007453,0.3635,84,DUDUK,262333
2026-04-25T15:53:17.883158,14,PSR_014,0.006074,0.7926,84,DUDUK,264346
2026-04-25T15:53:19.891334,14,PSR_014,0.006189,8.3765,83,DUDUK,266352
2026-04-25T15:53:21.907842,14,PSR_014,0.029852,22.7688,83,DUDUK,268363
2026-04-25T15:53:23.905917,14,PSR_014,0.056504,34.9848,91,BERJALAN,270369
2026-04-25T15:53:25.927373,14,PSR_014,0.011379,0.6549,106,BERJALAN,272390
2026-04-25T15:53:27.940265,14,PSR_014,0.00905,0.394,108,DUDUK,274401
2026-04-25T15:53:29.980352,14,PSR_014,0.008945,0.6289,102,DUDUK,276413
2026-04-25T15:53:31.960276,14,PSR_014,0.011534,1.0554,95,DUDUK,278422
2026-04-25T15:53:37.366511,14,PSR_014,0.007854,0.8051,91,DUDUK,280431
2026-04-25T15:53:37.561584,14,PSR_014,0.009575,0.5799,91,DUDUK,282442
2026-04-25T15:53:37.986345,14,PSR_014,0.022618,4.6145,91,DUDUK,284448
2026-04-25T15:53:40.002196,14,PSR_014,0.012052,3.9955,88,DUDUK,286464
2026-04-25T15:53:42.009711,14,PSR_014,0.009062,0.7153,85,DUDUK,288471
2026-04-25T15:53:44.015239,14,PSR_014,0.01068,0.2385,84,DUDUK,290477
2026-04-25T15:53:46.021573,14,PSR_014,0.007773,0.2093,83,DUDUK,292483
2026-04-25T15:53:48.037008,14,PSR_014,0.007946,0.268,82,DUDUK,294499
2026-04-25T15:53:50.044080,14,PSR_014,0.009763,0.2491,79,DUDUK,296504
2026-04-25T15:53:52.054334,14,PSR_014,0.006921,0.3996,77,DUDUK,298516
2026-04-25T15:53:54.064464,14,PSR_014,0.007775,0.3802,76,DUDUK,300526
2026-04-25T15:53:56.078686,14,PSR_014,0.007542,0.3326,75,DUDUK,302541
2026-04-25T15:53:58.550838,14,PSR_014,0.009924,0.1864,74,DUDUK,304535
2026-04-25T15:54:00.095791,14,PSR_014,0.007842,0.3016,74,DUDUK,306541
2026-04-25T15:54:02.090176,14,PSR_014,0.009359,0.5268,73,DUDUK,308551
2026-04-25T15:54:04.100520,14,PSR_014,0.008051,0.3693,73,DUDUK,310562
2026-04-25T15:54:06.116397,14,PSR_014,0.007545,0.2845,73,DUDUK,312578
2026-04-25T15:54:08.122729,14,PSR_014,0.010452,0.4508,74,DUDUK,314584
2026-04-25T15:54:10.133362,14,PSR_014,0.008123,0.5366,74,DUDUK,316594
2026-04-25T15:54:12.143763,14,PSR_014,0.008172,0.2476,74,DUDUK,318605
2026-04-25T15:54:14.157783,14,PSR_014,0.014308,2.81,74,DUDUK,320612
2026-04-25T15:54:16.166233,14,PSR_014,0.01149,2.0431,77,DUDUK,322624
2026-04-25T15:54:18.170805,14,PSR_014,0.018102,2.68,81,DUDUK,324632
2026-04-25T15:54:20.181211,14,PSR_014,0.009261,2.9449,85,DUDUK,326641
2026-04-25T15:54:22.187209,14,PSR_014,0.016386,1.7879,87,DUDUK,328646
2026-04-25T15:54:24.193592,14,PSR_014,0.008226,0.6321,85,DUDUK,330655
2026-04-25T15:54:26.204185,14,PSR_014,0.008227,0.754,85,DUDUK,332661
2026-04-25T15:54:28.205798,14,PSR_014,0.018578,5.7148,86,DUDUK,334667
2026-04-25T15:54:30.213117,14,PSR_014,0.010308,1.4064,93,DUDUK,336673
2026-04-25T15:54:32.218608,14,PSR_014,0.018118,3.4002,98,DUDUK,338679
2026-04-25T15:54:34.229654,14,PSR_014,0.009182,0.4538,106,DUDUK,340690
2026-04-25T15:54:36.238989,14,PSR_014,0.010926,0.3209,113,DUDUK,342700
2026-04-25T15:54:38.243625,14,PSR_014,0.008196,0.2812,113,DUDUK,344704
2026-04-25T15:54:40.254280,14,PSR_014,0.010521,0.485,104,DUDUK,346715
2026-04-25T15:54:42.261021,14,PSR_014,0.009313,0.2364,96,DUDUK,348721
2026-04-25T15:54:44.266501,14,PSR_014,0.010482,0.2491,88,DUDUK,350727
2026-04-25T15:54:46.274946,14,PSR_014,0.01084,0.197,85,DUDUK,352734
2026-04-25T15:54:48.282566,14,PSR_014,0.008195,0.3013,83,DUDUK,354743
2026-04-25T15:54:50.294073,14,PSR_014,0.009746,0.3041,82,DUDUK,356754
2026-04-25T15:54:52.303165,14,PSR_014,0.010388,1.5774,81,DUDUK,358764
2026-04-25T15:54:54.320991,14,PSR_014,0.012918,3.1662,84,DUDUK,360781
2026-04-25T15:54:56.325233,14,PSR_014,0.009196,0.8687,89,DUDUK,362785
2026-04-25T15:54:58.334631,14,PSR_014,0.013518,0.4991,92,DUDUK,364794
2026-04-25T15:55:00.509630,14,PSR_014,0.011723,0.3688,93,DUDUK,366804
2026-04-25T15:55:02.347320,14,PSR_014,0.009048,0.2666,87,DUDUK,368807
2026-04-25T15:55:04.353922,14,PSR_014,0.010769,0.2533,85,DUDUK,370813
2026-04-25T15:55:06.364496,14,PSR_014,0.006627,0.2604,82,DUDUK,372824
2026-04-25T15:55:08.368602,14,PSR_014,0.009427,0.3106,80,DUDUK,374827
2026-04-25T15:55:10.378242,14,PSR_014,0.011187,6.9438,79,DUDUK,376833
2026-04-25T15:55:12.385883,14,PSR_014,0.021917,7.8278,80,DUDUK,378846
2026-04-25T15:55:14.394300,14,PSR_014,0.009348,5.5198,91,DUDUK,380852
2026-04-25T15:55:16.407326,14,PSR_014,0.008531,2.7138,102,DUDUK,382864
2026-04-25T15:55:18.409662,14,PSR_014,0.008363,1.6226,107,DUDUK,384869
2026-04-25T15:55:20.426379,14,PSR_014,0.009798,1.3953,101,DUDUK,386885
2026-04-25T15:55:22.433599,14,PSR_014,0.007689,0.4367,98,DUDUK,388893
2026-04-25T15:55:24.443103,14,PSR_014,0.00617,0.3072,95,DUDUK,390901
2026-04-25T15:55:26.458150,14,PSR_014,0.008471,0.3863,92,DUDUK,392917
2026-04-25T15:55:28.468697,14,PSR_014,0.007717,1.3687,88,DUDUK,394926
2026-04-25T15:55:30.475355,14,PSR_014,0.007668,0.1872,84,DUDUK,396934
2026-04-25T15:55:32.487614,14,PSR_014,0.009048,0.2146,81,DUDUK,398945
2026-04-25T15:55:34.503453,14,PSR_014,0.004964,0.2504,81,DUDUK,400962
2026-04-25T15:55:36.515163,14,PSR_014,0.005805,0.2122,81,DUDUK,402973
2026-04-25T15:55:38.522406,14,PSR_014,0.007444,0.2428,81,DUDUK,404981
