received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,local_act,timestamp
2026-04-25T13:05:35.792118,12,PSR_012,0.005683,5.7542,0,DUDUK,14042
2026-04-25T13:05:37.798297,12,PSR_012,0.03109,30.9677,0,DUDUK,16048
2026-04-25T13:05:39.805261,12,PSR_012,0.086977,34.097,0,BERJALAN,18055
2026-04-25T13:05:41.809957,12,PSR_012,0.043251,23.2486,0,BERJALAN,20061
2026-04-25T13:05:43.818004,12,PSR_012,0.066128,15.7326,0,BERJALAN,22067
2026-04-25T13:05:45.825106,12,PSR_012,0.113935,58.5406,0,BERJALAN,24073
2026-04-25T13:05:49.849667,12,PSR_012,0.142637,34.6468,55,BERLARI,28099
2026-04-25T13:05:51.855269,12,PSR_012,0.026897,21.5313,93,BERJALAN,30105
2026-04-25T13:05:53.869243,12,PSR_012,0.036403,20.8802,103,BERJALAN,32118
2026-04-25T13:05:55.874485,12,PSR_012,0.025199,24.2709,99,BERJALAN,34124
2026-04-25T13:05:57.884507,12,PSR_012,0.048061,24.4983,94,BERJALAN,36133
2026-04-25T13:05:59.891515,12,PSR_012,0.027717,25.3421,97,BERJALAN,38141
2026-04-25T13:06:02.354783,12,PSR_012,0.02075,10.3426,101,BERJALAN,40153
2026-04-25T13:06:03.908875,12,PSR_012,0.020838,7.82,99,BERJALAN,42158
2026-04-25T13:06:05.948458,12,PSR_012,0.017389,14.7069,104,DUDUK,44169
2026-04-25T13:06:08.118905,12,PSR_012,0.017208,10.5514,118,BERJALAN,46183
2026-04-25T13:06:09.944348,12,PSR_012,0.017803,13.6468,128,BERJALAN,48194
2026-04-25T13:06:11.951127,12,PSR_012,0.012683,14.0433,122,BERJALAN,50200
2026-04-25T13:06:13.960372,12,PSR_012,0.026261,16.7142,111,BERJALAN,52209
2026-04-25T13:06:15.985980,12,PSR_012,0.022401,15.6317,136,BERJALAN,54235
2026-04-25T13:06:17.990543,12,PSR_012,0.018528,16.2621,161,BERJALAN,56244
2026-04-25T13:06:20.007554,12,PSR_012,0.012406,21.8618,149,BERJALAN,58251
2026-04-25T13:06:22.004846,12,PSR_012,0.018313,12.5469,124,BERJALAN,60260
2026-04-25T13:06:24.024111,12,PSR_012,0.021297,6.6435,105,BERJALAN,62269
2026-04-25T13:06:26.022134,12,PSR_012,0.018709,5.2368,98,DUDUK,64275
2026-04-25T13:06:28.032691,12,PSR_012,0.017334,5.7573,98,DUDUK,66281
2026-04-25T13:06:30.040239,12,PSR_012,0.016367,7.0403,92,DUDUK,68297
2026-04-25T13:06:32.070342,12,PSR_012,0.021603,10.6962,89,DUDUK,70313
2026-04-25T13:06:34.073562,12,PSR_012,0.020213,12.2392,94,DUDUK,72322
2026-04-25T13:06:36.085725,12,PSR_012,0.0265,21.4824,98,BERJALAN,74333
2026-04-25T13:06:38.091147,12,PSR_012,0.06592,51.1309,93,BERJALAN,76339
2026-04-25T13:06:40.097508,12,PSR_012,0.021259,11.3638,102,BERJALAN,78345
2026-04-25T13:06:42.105561,12,PSR_012,0.020229,13.6329,139,BERJALAN,80354
2026-04-25T13:06:44.112966,12,PSR_012,0.024169,23.4532,143,BERJALAN,82360
2026-04-25T13:06:46.131559,12,PSR_012,0.030196,15.2271,127,BERJALAN,84382
2026-04-25T13:06:48.133967,12,PSR_012,0.113781,48.3156,126,BERJALAN,86381
2026-04-25T13:06:50.131567,12,PSR_012,0.048241,15.675,115,BERLARI,88392
2026-04-25T13:06:52.160492,12,PSR_012,0.029265,16.0182,107,BERJALAN,90408
2026-04-25T13:06:54.172918,12,PSR_012,0.0361,12.2686,108,BERJALAN,92424
2026-04-25T13:06:56.188356,12,PSR_012,0.024329,8.7265,114,DUDUK,94435
2026-04-25T13:06:58.196798,12,PSR_012,0.030108,15.6912,108,BERJALAN,96447
2026-04-25T13:07:00.209953,12,PSR_012,0.123748,22.2843,98,BERJALAN,98458
2026-04-25T13:07:02.217529,12,PSR_012,0.036346,7.9871,100,BERJALAN,100472
2026-04-25T13:07:04.236129,12,PSR_012,0.037857,11.7971,101,BERJALAN,102483
2026-04-25T13:07:06.245407,12,PSR_012,0.028969,9.332,97,BERJALAN,104489
2026-04-25T13:07:08.250908,12,PSR_012,0.025789,9.7516,91,BERJALAN,106498
2026-04-25T13:07:10.258210,12,PSR_012,0.027467,7.2207,91,DUDUK,108504
