received_at,device_id,participant_id,accel_stddev,gyro_stddev,bpm,activity,local_act,timestamp
2026-04-13T10:36:49.694145,ESP32_001,data_collection_BERLARI,0.123476,31.0682,148,BERLARI,BERJALAN,1387070
2026-04-13T10:36:51.707267,ESP32_001,data_collection_BERLARI,0.178215,31.3634,172,BERLARI,BERJALAN,1389081
2026-04-13T10:36:53.714682,ESP32_001,data_collection_BERLARI,0.179325,30.0967,172,BERLARI,BERLARI,1391090
2026-04-13T10:36:55.713568,ESP32_001,data_collection_BERLARI,0.209367,31.743,154,BERLARI,BERLARI,1393096
2026-04-13T10:36:57.732240,ESP32_001,data_collection_BERLARI,0.158499,36.4348,147,BERLARI,BERLARI,1395107
2026-04-13T10:36:59.734238,ESP32_001,data_collection_BERLARI,0.129207,31.7435,145,BERLARI,BERLARI,1397116
2026-04-13T10:37:02.115208,ESP32_001,data_collection_BERLARI,0.126951,30.6484,136,BERLARI,BERLARI,1399122
2026-04-13T10:37:03.902232,ESP32_001,data_collection_BERLARI,0.156065,30.386,122,BERLARI,BERJALAN,1401134
2026-04-13T10:37:05.821084,ESP32_001,data_collection_BERLARI,0.097754,26.0063,116,BERLARI,BERLARI,1403145
2026-04-13T10:37:07.768930,ESP32_001,data_collection_BERLARI,0.154552,28.0015,118,BERLARI,BERJALAN,1405150
2026-04-13T10:37:09.778965,ESP32_001,data_collection_BERLARI,0.152651,34.9511,137,BERLARI,BERLARI,1407153
2026-04-13T10:37:11.778997,ESP32_001,data_collection_BERLARI,0.132272,32.1223,157,BERLARI,BERLARI,1409160
2026-04-13T10:37:13.802484,ESP32_001,data_collection_BERLARI,0.134825,34.3379,161,BERLARI,BERJALAN,1411176
2026-04-13T10:37:15.811488,ESP32_001,data_collection_BERLARI,0.110161,30.2954,156,BERLARI,BERJALAN,1413190
2026-04-13T10:37:17.819125,ESP32_001,data_collection_BERLARI,0.312457,62.3071,161,BERLARI,BERLARI,1415194
2026-04-13T10:37:19.829037,ESP32_001,data_collection_BERLARI,0.230593,80.8852,163,BERLARI,BERLARI,1417203
2026-04-13T10:37:21.836785,ESP32_001,data_collection_BERLARI,0.770121,65.0498,163,BERLARI,BERLARI,1419212
2026-04-13T10:37:23.841851,ESP32_001,data_collection_BERLARI,0.247498,59.9776,154,BERLARI,BERLARI,1421223
2026-04-13T10:37:25.859459,ESP32_001,data_collection_BERLARI,0.155527,47.6284,137,BERLARI,BERLARI,1423234
2026-04-13T10:37:27.876212,ESP32_001,data_collection_BERLARI,0.278336,32.9696,137,BERLARI,BERLARI,1425250
2026-04-13T10:37:29.884964,ESP32_001,data_collection_BERLARI,0.398808,31.2404,137,BERLARI,BERLARI,1427266
2026-04-13T10:37:31.896706,ESP32_001,data_collection_BERLARI,0.390575,37.3092,125,BERLARI,BERLARI,1429277
2026-04-13T10:37:33.912209,ESP32_001,data_collection_BERLARI,0.223326,27.7813,116,BERLARI,BERLARI,1431293
2026-04-13T10:37:35.943238,ESP32_001,data_collection_BERLARI,0.199884,25.3115,127,BERLARI,BERLARI,1433309
2026-04-13T10:37:37.935700,ESP32_001,data_collection_BERLARI,0.160034,26.6523,137,BERLARI,BERLARI,1435316
2026-04-13T10:37:39.950926,ESP32_001,data_collection_BERLARI,0.148453,50.9955,147,BERLARI,BERLARI,1437331
2026-04-13T10:37:41.972079,ESP32_001,data_collection_BERLARI,0.130395,27.6742,149,BERLARI,BERLARI,1439347
2026-04-13T10:37:43.998776,ESP32_001,data_collection_BERLARI,0.172136,21.7949,147,BERLARI,BERLARI,1441364
2026-04-13T10:37:46.002632,ESP32_001,data_collection_BERLARI,0.174017,26.9828,146,BERLARI,BERLARI,1443380
2026-04-13T10:37:48.021208,ESP32_001,data_collection_BERLARI,0.16511,31.5608,142,BERLARI,BERLARI,1445396
2026-04-13T10:37:50.029219,ESP32_001,data_collection_BERLARI,0.163069,36.1162,139,BERLARI,BERLARI,1447409
2026-04-13T10:37:52.174964,ESP32_001,data_collection_BERLARI,0.150222,30.2685,132,BERLARI,BERLARI,1449419
2026-04-13T10:37:54.064493,ESP32_001,data_collection_BERLARI,0.129517,38.0202,132,BERLARI,BERLARI,1451435
2026-04-13T10:37:56.070229,ESP32_001,data_collection_BERLARI,0.138802,25.5858,145,BERLARI,BERJALAN,1453448
2026-04-13T10:37:58.078125,ESP32_001,data_collection_BERLARI,0.149055,32.1876,149,BERLARI,BERLARI,1455457
2026-04-13T10:38:00.105445,ESP32_001,data_collection_BERLARI,0.120105,18.0675,146,BERLARI,BERLARI,1457468
2026-04-13T10:38:02.106763,ESP32_001,data_collection_BERLARI,0.15131,35.7557,165,BERLARI,BERLARI,1459480
2026-04-13T10:38:04.106352,ESP32_001,data_collection_BERLARI,0.152913,41.0692,176,BERLARI,BERLARI,1461486
2026-04-13T10:38:06.119097,ESP32_001,data_collection_BERLARI,0.162169,31.0692,158,BERLARI,BERLARI,1463493
2026-04-13T10:38:08.129848,ESP32_001,data_collection_BERLARI,0.141069,35.8941,134,BERLARI,BERLARI,1465504
2026-04-13T10:38:10.135051,ESP32_001,data_collection_BERLARI,0.147947,32.4384,145,BERLARI,BERLARI,1467509
2026-04-13T10:38:12.146736,ESP32_001,data_collection_BERLARI,0.181306,43.5182,137,BERLARI,BERLARI,1469526
2026-04-13T10:38:14.157316,ESP32_001,data_collection_BERLARI,0.180384,40.5583,130,BERLARI,BERLARI,1471531
2026-04-13T10:38:16.156294,ESP32_001,data_collection_BERLARI,0.171774,31.3601,122,BERLARI,BERLARI,1473535
2026-04-13T10:38:18.182991,ESP32_001,data_collection_BERLARI,0.152155,25.0889,122,BERLARI,BERLARI,1475546
2026-04-13T10:38:20.183539,ESP32_001,data_collection_BERLARI,0.173776,35.1991,125,BERLARI,BERLARI,1477557
2026-04-13T10:38:22.192422,ESP32_001,data_collection_BERLARI,0.162858,27.1562,129,BERLARI,BERLARI,1479571
2026-04-13T10:38:24.200362,ESP32_001,data_collection_BERLARI,0.149371,30.352,129,BERLARI,BERLARI,1481580
2026-04-13T10:38:26.212114,ESP32_001,data_collection_BERLARI,0.157499,25.0045,130,BERLARI,BERLARI,1483591
2026-04-13T10:38:28.223987,ESP32_001,data_collection_BERLARI,0.165098,49.857,128,BERLARI,BERLARI,1485603
2026-04-13T10:38:30.241775,ESP32_001,data_collection_BERLARI,0.159872,38.4125,136,BERLARI,BERLARI,1487614
2026-04-13T10:38:32.252046,ESP32_001,data_collection_BERLARI,0.157657,35.2398,142,BERLARI,BERLARI,1489625
2026-04-13T10:38:34.251686,ESP32_001,data_collection_BERLARI,0.186554,28.2278,145,BERLARI,BERLARI,1491630
2026-04-13T10:38:36.258514,ESP32_001,data_collection_BERLARI,0.185433,34.0602,143,BERLARI,BERLARI,1493636
2026-04-13T10:38:38.271334,ESP32_001,data_collection_BERLARI,0.155684,30.4252,134,BERLARI,BERLARI,1495643
2026-04-13T10:38:40.280800,ESP32_001,data_collection_BERLARI,0.200074,51.4182,132,BERLARI,BERLARI,1497659
2026-04-13T10:38:42.308556,ESP32_001,data_collection_BERLARI,0.208182,28.9839,133,BERLARI,BERLARI,1499685
2026-04-13T10:38:44.317794,ESP32_001,data_collection_BERLARI,0.175822,45.5192,133,BERLARI,BERLARI,1501696
2026-04-13T10:38:46.328315,ESP32_001,data_collection_BERLARI,0.134544,36.7172,136,BERLARI,BERLARI,1503707
2026-04-13T10:38:48.338525,ESP32_001,data_collection_BERLARI,0.179455,31.9764,136,BERLARI,BERLARI,1505716
2026-04-13T10:38:50.348773,ESP32_001,data_collection_BERLARI,0.139618,34.6025,133,BERLARI,BERLARI,1507719
2026-04-13T10:38:52.357585,ESP32_001,data_collection_BERLARI,0.114691,36.6218,134,BERLARI,BERLARI,1509735
2026-04-13T10:38:54.370789,ESP32_001,data_collection_BERLARI,0.139173,38.4995,135,BERLARI,BERLARI,1511744
2026-04-13T10:38:56.385570,ESP32_001,data_collection_BERLARI,0.160693,37.3107,135,BERLARI,BERLARI,1513755
2026-04-13T10:38:58.398155,ESP32_001,data_collection_BERLARI,0.135666,31.4183,134,BERLARI,BERLARI,1515769
2026-04-13T10:39:00.403962,ESP32_001,data_collection_BERLARI,0.156643,35.8051,135,BERLARI,BERLARI,1517782
2026-04-13T10:39:02.413234,ESP32_001,data_collection_BERLARI,0.157055,36.0469,134,BERLARI,BERLARI,1519791
2026-04-13T10:39:04.430809,ESP32_001,data_collection_BERLARI,0.196012,38.5279,132,BERLARI,BERLARI,1521802
2026-04-13T10:39:06.446001,ESP32_001,data_collection_BERLARI,0.154771,42.1636,131,BERLARI,BERLARI,1523818
2026-04-13T10:39:08.525325,ESP32_001,data_collection_BERLARI,0.143367,48.6562,131,BERLARI,BERLARI,1525824
2026-04-13T10:39:10.465603,ESP32_001,data_collection_BERLARI,0.208698,36.239,132,BERLARI,BERLARI,1527835
2026-04-13T10:39:12.464350,ESP32_001,data_collection_BERLARI,0.178101,41.8305,133,BERLARI,BERLARI,1529841
2026-04-13T10:39:14.471507,ESP32_001,data_collection_BERLARI,0.223927,44.5443,131,BERLARI,BERLARI,1531845
2026-04-13T10:39:16.483164,ESP32_001,data_collection_BERLARI,0.158233,48.0421,131,BERLARI,BERLARI,1533854
2026-04-13T10:39:18.491938,ESP32_001,data_collection_BERLARI,0.560595,54.0869,132,BERLARI,BERLARI,1535863
2026-04-13T10:39:20.491784,ESP32_001,data_collection_BERLARI,0.399988,85.5465,132,BERLARI,BERLARI,1537869
2026-04-13T10:39:22.498169,ESP32_001,data_collection_BERLARI,0.388089,32.3108,121,BERLARI,BERLARI,1539875
2026-04-13T10:39:24.508862,ESP32_001,data_collection_BERLARI,0.423631,31.007,116,BERLARI,BERLARI,1541886
2026-04-13T10:39:26.591626,ESP32_001,data_collection_BERLARI,0.403025,41.5913,141,BERLARI,BERLARI,1543895
2026-04-13T10:39:28.540376,ESP32_001,data_collection_BERLARI,0.483753,47.6337,145,BERLARI,BERLARI,1545910
2026-04-13T10:39:30.549943,ESP32_001,data_collection_BERLARI,0.284737,36.0294,145,BERLARI,BERLARI,1547921
2026-04-13T10:39:32.559440,ESP32_001,data_collection_BERLARI,0.245752,34.1103,148,BERLARI,BERLARI,1549936
2026-04-13T10:39:34.577726,ESP32_001,data_collection_BERLARI,0.262318,37.0592,149,BERLARI,BERLARI,1551948
2026-04-13T10:39:36.587578,ESP32_001,data_collection_BERLARI,0.267077,40.2359,149,BERLARI,BERLARI,1553964
2026-04-13T10:39:38.608059,ESP32_001,data_collection_BERLARI,0.288225,38.2771,150,BERLARI,BERLARI,1555976
2026-04-13T10:39:40.606814,ESP32_001,data_collection_BERLARI,0.250207,32.874,156,BERLARI,BERLARI,1557983
2026-04-13T10:39:42.623672,ESP32_001,data_collection_BERLARI,0.260678,32.0742,158,BERLARI,BERLARI,1560000
2026-04-13T10:39:44.645521,ESP32_001,data_collection_BERLARI,0.284955,41.1712,160,BERLARI,BERLARI,1562016
2026-04-13T10:39:46.653124,ESP32_001,data_collection_BERLARI,0.250081,31.1448,154,BERLARI,BERLARI,1564027
2026-04-13T10:39:48.679988,ESP32_001,data_collection_BERLARI,0.284756,35.7805,153,BERLARI,BERLARI,1566038
2026-04-13T10:39:50.693684,ESP32_001,data_collection_BERLARI,0.288846,34.623,162,BERLARI,BERLARI,1568064
2026-04-13T10:39:52.703297,ESP32_001,data_collection_BERLARI,0.312604,39.4232,160,BERLARI,BERLARI,1570073
2026-04-13T10:39:54.713589,ESP32_001,data_collection_BERLARI,0.285128,34.4187,159,BERLARI,BERLARI,1572089
2026-04-13T10:39:56.733261,ESP32_001,data_collection_BERLARI,0.308551,43.09,157,BERLARI,BERLARI,1574103
2026-04-13T10:39:58.741916,ESP32_001,data_collection_BERLARI,0.229776,24.6484,156,BERLARI,BERLARI,1576118
2026-04-13T10:40:00.762521,ESP32_001,data_collection_BERLARI,0.260879,39.8505,158,BERLARI,BERLARI,1578132
2026-04-13T10:40:02.770527,ESP32_001,data_collection_BERLARI,0.29132,37.331,160,BERLARI,BERLARI,1580141
2026-04-13T10:40:04.780926,ESP32_001,data_collection_BERLARI,0.316074,52.125,158,BERLARI,BERLARI,1582157
2026-04-13T10:40:06.801519,ESP32_001,data_collection_BERLARI,0.292599,39.1786,156,BERLARI,BERLARI,1584171
2026-04-13T10:40:08.802604,ESP32_001,data_collection_BERLARI,0.221397,30.3794,156,BERLARI,BERLARI,1586178
2026-04-13T10:40:10.810053,ESP32_001,data_collection_BERLARI,0.290291,36.9648,159,BERLARI,BERLARI,1588186
