received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,local_act,timestamp
2026-04-13T12:22:51.977432,1,PSR_01,0.005884,1.8564,0,DUDUK,126365
2026-04-13T12:22:53.994452,1,PSR_01,0.010799,11.6406,0,BERJALAN,128370
2026-04-13T12:22:56.019175,1,PSR_01,0.00588,10.2073,0,BERJALAN,130377
2026-04-13T12:22:58.018431,1,PSR_01,0.005395,2.2931,0,DUDUK,132383
2026-04-13T12:23:00.027616,1,PSR_01,0.005418,4.5154,0,DUDUK,134388
2026-04-13T12:23:02.018053,1,PSR_01,0.004378,3.8954,0,DUDUK,136393
2026-04-13T12:23:04.030189,1,PSR_01,0.004346,9.5453,62,DUDUK,138403
2026-04-13T12:23:06.050381,1,PSR_01,0.006112,4.5295,57,DUDUK,140412
2026-04-13T12:23:08.056960,1,PSR_01,0.037752,22.7916,63,DUDUK,142418
2026-04-13T12:23:10.074291,1,PSR_01,0.062544,18.0535,70,BERJALAN,144437
2026-04-13T12:23:12.082711,1,PSR_01,0.037261,10.0065,76,BERJALAN,146449
2026-04-13T12:23:14.091067,1,PSR_01,0.035491,8.1174,79,BERJALAN,148469
2026-04-13T12:23:16.223834,1,PSR_01,0.014032,2.1509,79,DUDUK,150485
2026-04-13T12:23:18.240334,1,PSR_01,0.008428,2.2111,78,DUDUK,152495
2026-04-13T12:23:20.237275,1,PSR_01,0.010051,7.4208,78,DUDUK,154500
2026-04-13T12:23:22.240027,1,PSR_01,0.00869,2.3555,105,DUDUK,156505
2026-04-13T12:23:24.132150,1,PSR_01,0.011657,1.9242,105,DUDUK,158511
2026-04-13T12:23:26.130304,1,PSR_01,0.012083,2.5001,0,DUDUK,160522
2026-04-13T12:23:28.150955,1,PSR_01,0.021255,4.1924,0,DUDUK,162527
2026-04-13T12:23:30.183864,1,PSR_01,0.020655,7.4117,0,DUDUK,164532
2026-04-13T12:23:32.171252,1,PSR_01,0.1116,12.5546,45,BERJALAN,166546
2026-04-13T12:23:34.172254,1,PSR_01,0.060132,25.1396,72,BERJALAN,168553
2026-04-13T12:23:36.189702,1,PSR_01,0.099258,12.2406,72,BERJALAN,170559
2026-04-13T12:23:38.198112,1,PSR_01,0.119993,13.9019,73,BERJALAN,172566
2026-04-13T12:23:40.209237,1,PSR_01,0.29374,30.5644,68,BERJALAN,174576
2026-04-13T12:23:42.211540,1,PSR_01,0.33949,18.9235,68,BERLARI,176587
2026-04-13T12:23:44.220273,1,PSR_01,0.067193,14.6244,59,BERLARI,178593
2026-04-13T12:23:46.231776,1,PSR_01,0.008449,22.8159,57,BERJALAN,180602
2026-04-13T12:23:48.264650,1,PSR_01,0.024936,10.2493,57,BERJALAN,182609
2026-04-13T12:23:50.259648,1,PSR_01,0.095467,36.3879,57,BERJALAN,184620
2026-04-13T12:23:52.258706,1,PSR_01,0.370596,26.8167,58,BERLARI,186627
2026-04-13T12:23:54.257976,1,PSR_01,0.325154,55.643,59,BERLARI,188631
2026-04-13T12:23:56.268662,1,PSR_01,0.149362,24.5053,65,BERLARI,190637
2026-04-13T12:23:58.269471,1,PSR_01,0.328544,32.1091,67,BERLARI,192644
2026-04-13T12:24:00.335958,1,PSR_01,0.336976,35.596,67,BERLARI,194655
2026-04-13T12:24:02.292048,1,PSR_01,0.373113,39.1972,71,BERLARI,196669
2026-04-13T12:24:04.311096,1,PSR_01,0.396388,83.7721,70,BERLARI,198679
2026-04-13T12:24:06.311667,1,PSR_01,0.31261,41.1129,68,BERLARI,200690
2026-04-13T12:24:08.339377,1,PSR_01,0.174706,25.2112,68,BERLARI,202696
2026-04-13T12:24:10.331701,1,PSR_01,0.216307,36.2095,0,BERLARI,204703
2026-04-13T12:24:12.330055,1,PSR_01,0.097988,20.9607,0,BERLARI,206713
2026-04-13T12:24:14.353967,1,PSR_01,0.007361,27.7443,79,BERLARI,208718
2026-04-13T12:24:16.350579,1,PSR_01,0.007307,9.0436,89,BERJALAN,210729
2026-04-13T12:24:18.378751,1,PSR_01,0.005979,1.855,90,DUDUK,212750
2026-04-13T12:24:20.396441,1,PSR_01,0.006101,1.5395,84,DUDUK,214763
2026-04-13T12:24:22.441758,1,PSR_01,0.018895,9.7374,77,DUDUK,216779
2026-04-13T12:24:24.416923,1,PSR_01,0.017625,16.7159,79,BERJALAN,218788
2026-04-13T12:24:26.429051,1,PSR_01,0.015574,6.4733,79,BERJALAN,220794
2026-04-13T12:24:28.437201,1,PSR_01,0.010607,1.3335,79,DUDUK,222800
2026-04-13T12:24:32.530648,1,PSR_01,0.008992,3.046,37,DUDUK,226816
2026-04-13T12:24:34.472328,1,PSR_01,0.06078,16.0816,49,BERJALAN,228821
2026-04-13T12:24:36.540310,1,PSR_01,0.019687,8.5119,56,BERJALAN,230827
2026-04-13T12:24:38.469851,1,PSR_01,0.007186,11.4813,67,DUDUK,232842
2026-04-13T12:24:40.484502,1,PSR_01,0.015212,26.8384,67,BERJALAN,234847
2026-04-13T12:24:42.477741,1,PSR_01,0.050642,38.7134,66,BERJALAN,236853
2026-04-13T12:24:44.546119,1,PSR_01,0.015948,16.4108,66,BERJALAN,238859
2026-04-13T12:24:46.495456,1,PSR_01,0.03009,28.0418,39,BERJALAN,240870
